Size..bp.,TK150013_Y2006_L,TK150013_Y2006_M,TK150014_Y2006_L,TK150014_Y2006_M,TK150019_Y2006_L,TK150019_Y2006_M,TK150027_Y2006_L,TK150027_Y2006_M,TK150036_Y2006_L,TK150036_Y2006_M,TK150038_Y2006_L,TK150038_Y2006_M,TK150043_Y2006_L,TK150043_Y2006_M,TK150119_Y2006_L,TK150119_Y2006_M,TK150122_Y2006_L,TK150122_Y2006_M,TK150129_Y2006_L,TK150129_Y2006_M,TK150131_Y2006_L,TK150131_Y2006_M,TK150133_Y2006_L,TK150133_Y2006_M,TK150135_Y2006_L,TK150135_Y2006_M,TK150138_Y2006_L,TK150138_Y2006_M,TK150139_Y2006_L,TK150139_Y2006_M,TK150140_Y2006_L,TK150140_Y2006_M,TK150145_Y2006_L,TK150145_Y2006_M,TK150148_Y2006_L,TK150148_Y2006_M,TK150150_Y2006_L,TK150150_Y2006_M,TK150159_Y2006_L,TK150159_Y2006_M,TK150168_Y2006_L,TK150168_Y2006_M,TK150172_Y2006_L,TK150172_Y2006_M,TK150183_Y2006_L,TK150183_Y2006_M,TK150184_Y2006_L,TK150184_Y2006_M,TK150233_Y2006_L,TK150233_Y2006_M,TK188255_Y2016_L,TK188255_Y2016_M,TK188274_Y2016_L,TK188274_Y2016_M,TK188278_Y2016_L,TK188278_Y2016_M,TK188288_Y2016_L,TK188288_Y2016_M,TK188297_Y2016_L,TK188297_Y2016_M,TK197090_Y2016_L,TK197090_Y2016_M,TK197100_Y2016_L,TK197100_Y2016_M,TK197103_Y2016_L,TK197103_Y2016_M,TK197123_Y2016_L,TK197123_Y2016_M,TK197127_Y2016_L,TK197127_Y2016_M,TK197134_Y2016_L,TK197134_Y2016_M,TK197158_Y2016_L,TK197158_Y2016_M,TK197258_Y2016_L,TK197258_Y2016_M,TK197301_Y2016_L,TK197301_Y2016_M,TK197307_Y2016_L,TK197307_Y2016_M,TK197322_Y2016_L,TK197322_Y2016_M,TK197331_Y2016_L,TK197331_Y2016_M,TK197345_Y2016_L,TK197345_Y2016_M,TK197372_Y2016_L,TK197372_Y2016_M,TK197378_Y2016_L,TK197378_Y2016_M,TK197386_Y2016_L,TK197386_Y2016_M,TK197586_Y2016_L,TK197586_Y2016_M,TK197677_Y2016_L,TK197677_Y2016_M,TK197735_Y2016_L,TK197735_Y2016_M,TK197746_Y2016_L,TK197746_Y2016_M,TK28958_Y1986_L,TK28958_Y1986_M,TK28994_Y1986_L,TK28994_Y1986_M,TK28996_Y1986_L,TK28996_Y1986_M,TK28997_Y1986_L,TK28997_Y1986_M,TK28998_Y1986_L,TK28998_Y1986_M,TK30014_Y1986_L,TK30014_Y1986_M,TK30560_Y1986_L,TK30560_Y1986_M,TK47554_Y1996_L,TK47554_Y1996_M,TK47560_Y1996_L,TK47560_Y1996_M,TK49607_Y1996_L,TK49607_Y1996_M,TK51534_Y1996_L,TK51534_Y1996_M,TK51578_Y1996_L,TK51578_Y1996_M,TK51585_Y1996_L,TK51585_Y1996_M,TK51605_Y1996_L,TK51605_Y1996_M,TK51652_Y1996_L,TK51652_Y1996_M,TK51673_Y1996_L,TK51673_Y1996_M,TK51681_Y1996_L,TK51681_Y1996_M,TK51690_Y1996_L,TK51690_Y1996_M,TK51698_Y1996_L,TK51698_Y1996_M,TK51704_Y1996_L,TK51704_Y1996_M,TK51718_Y1996_L,TK51718_Y1996_M,TK51720_Y1996_L,TK51720_Y1996_M,TK51733_Y1996_L,TK51733_Y1996_M,TK51734_Y1996_L,TK51734_Y1996_M,TK52061_Y1996_L,TK52061_Y1996_M,TK52135_Y1996_L,TK52135_Y1996_M,TK52154_Y1996_L,TK52154_Y1996_M,TK52164_Y1996_L,TK52164_Y1996_M,TK52167_Y1996_L,TK52167_Y1996_M,TK52171_Y1996_L,TK52171_Y1996_M,TK52480_Y1996_L,TK52480_Y1996_M,TK57938_Y1996_L,TK57938_Y1996_M
0,292.1052632,197.2972973,210.8108108,150,164.8648649,178.3783784,164.8648649,181.0810811,243.2432432,162.1621622,262.1621622,245.9459459,205.4054054,345.9459459,118.9189189,154.0540541,135.1351351,97.2972973,186.4864865,175.6756757,256.7567568,124.3243243,186.4864865,264.8648649,240,181.0810811,131.4285714,202.7027027,122.8571429,122.8571429,194.2857143,160,220,228.5714286,252.7777778,297.1428571,183.3333333,241.6666667,144.4444444,166.6666667,169.4444444,186.1111111,261.1111111,211.1111111,283.3333333,355.5555556,236.5853659,229.2682927,221.9512195,251.3513514,165.8536585,190.2439024,217.9487179,270.7317073,292.6829268,258.5365854,468.2926829,128.9473684,221.0526316,157.8947368,147.3684211,163.1578947,142.1052632,133.3333333,234.2105263,231.5789474,213.1578947,371.0526316,247.3684211,133.3333333,155.2631579,153.8461538,161.5384615,142.1052632,84.61538462,210.5263158,200,207.8947368,315.7894737,84.61538462,320.5128205,230.7692308,128.9473684,110.5263158,157.8947368,150,205.2631579,384.6153846,173.6842105,278.9473684,186.8421053,176.3157895,139.4736842,147.3684211,136.8421053,139.4736842,184.2105263,207.8947368,155.2631579,278.9473684,141.025641,192.3076923,107.6923077,153.8461538,146.1538462,235.1351351,128.2051282,272.972973,184.6153846,174.3589744,274.3589744,188.5714286,159.4594595,134.2857143,162.8571429,175.6756757,145.9459459,118.9189189,148.6486486,700,222.8571429,414.2857143,251.4285714,178.3783784,217.1428571,197.2972973,167.5675676,165.7142857,165.7142857,202.8571429,297.2972973,48.57142857,442.8571429,17.14285714,244.4444444,188.8888889,208.3333333,197.2222222,169.4444444,152.7777778,233.3333333,125.7142857,122.8571429,333.3333333,254.2857143,160,208.5714286,171.4285714,102.8571429,240,71.42857143,217.1428571,274.2857143,254.2857143,388.5714286,123.6842105,194.7368421,139.4736842,184.2105263,163.1578947,142.1052632,186.8421053,322.8571429,173.6842105
100,0,0,0,0,0,0,15.68627451,19.60784314,156.8627451,9.803921569,70.58823529,0,0,0,68.62745098,0,15.68627451,0,1.851851852,0,0,0,35.29411765,0,0,0,0,0,0,0,0,0,0,0,15.38461538,4.081632653,0,19.23076923,0,0,0,0,0,0,0,161.5384615,5.263157895,0,0,0,14.03508772,0,0,103.5087719,370.1754386,0,61.40350877,0,0,0,0,0,0,0,0,0,46.2962963,138.8888889,9.259259259,0,70.37037037,0,0,0,0,0,0,0,0,0,667.3076923,0,0,0,0,0,9.259259259,0,0,0,9.259259259,0,0,0,12.96296296,0,0,0,0,0,386,94,22,0,0,0,0,163.4615385,0,20,0,48.07692308,28.84615385,0,28.84615385,0,17.30769231,0,55.76923077,263.4615385,23.07692308,0,0,0,0,0,1750,11.53846154,25,0,415.3846154,249.0196078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41176471,0,0,0,0,5.882352941,0,0,0,0,0,0,0,0,56.8627451,0
200,0,71.11111111,73.33333333,0,0,0,100,100,468.8888889,97.77777778,273.3333333,66.66666667,97.77777778,0,188.8888889,0,82.22222222,0,100,0,0,0,180,70.83333333,0,0,0,0,0,0,56.81818182,56.81818182,0,0,100,93.18181818,0,100,0,0,28.26086957,0,0,0,0,671.7391304,50.98039216,80.39215686,0,6.666666667,76.47058824,0,15.2173913,307.8431373,876.4705882,7.843137255,100,38.29787234,6.382978723,0,0,0,0,0,0,29.78723404,102.1276596,314.893617,76.59574468,0,114.893617,0,0,0,0,0,65.95744681,51.06382979,10.63829787,0,1506.521739,0,10.63829787,0,0,0,76.59574468,0,0,0,97.87234043,0,87.23404255,0,46.80851064,0,0,0,0,0,423.8095238,176.1904762,9.523809524,0,0,0,0,287.2340426,4.761904762,123.8095238,0,250,336.1702128,0,173.9130435,0,153.1914894,0,193.6170213,0,41.30434783,0,0,0,12.76595745,0,6506.382979,100,38.29787234,0,3734.042553,393.3333333,82.9787234,0,0,0,0,0,0,48.93617021,0,0,0,0,0,53.33333333,58.69565217,22.22222222,166.6666667,0,137.7777778,0,0,146.6666667,19.56521739,0,0,0,0,0,0,14.89361702,704.4444444,0
300,0,0,50,0,47.82608696,0,132.6086957,136.9565217,286.9565217,100,408.6956522,32.60869565,100,0,219.5652174,0,41.30434783,26.08695652,100,0,0,0,134.7826087,22.44897959,0,0,0,0,32.60869565,0,56.52173913,69.56521739,0,0,110.4166667,50,0,106.25,41.66666667,0,52.08333333,0,0,0,0,250,19.23076923,25,0,0,71.15384615,0,0,234.6153846,201.9230769,0,153.8461538,41.66666667,0,0,0,0,0,0,0,31.25,72.91666667,254.1666667,72.91666667,0,91.66666667,0,4.166666667,0,0,0,58.33333333,2.083333333,47.91666667,0,2231.25,0,14.58333333,0,0,0,25,0,0,18.75,52.08333333,0,77.55102041,0,41.66666667,0,0,0,28.57142857,0,339.1304348,132.6086957,84.7826087,0,65.2173913,8.333333333,26.08695652,297.9166667,89.13043478,91.30434783,0,263.0434783,285.4166667,0,63.04347826,0,127.0833333,0,200,0,0,0,0,0,0,0,1808.333333,100,0,0,1152.083333,300,100,0,0,0,0,0,0,56.25,0,0,0,0,0,10.86956522,100,30.43478261,134.7826087,0,69.56521739,0,0,63.04347826,34.04255319,0,0,0,0,0,0,25,436.9565217,0
400,25,63.04347826,100,0,100,0,247.826087,265.2173913,313.0434783,136.9565217,482.6086957,93.47826087,100,0,334.7826087,0,100,69.56521739,106.25,0,0,0,206.5217391,100,0,32.60869565,0,0,75.55555556,26.66666667,100,100,0,0,158.3333333,131.1111111,0,158.3333333,77.08333333,0,81.25,0,0,0,0,610.4166667,29.41176471,100,0,0,154.9019608,0,82.60869565,276.4705882,160.7843137,0,168.627451,85.41666667,0,0,0,0,0,0,0,58.33333333,64.58333333,247.9166667,100,0,70.83333333,0,0,0,0,0,100,47.91666667,66.66666667,0,3178.26087,0,75,0,0,0,81.25,4.347826087,0,68.75,100,0,140.8163265,0,47.91666667,0,22.91666667,0,100,0,257.7777778,171.1111111,88.88888889,0,60,71.73913043,46.66666667,226.0869565,122.2222222,164.4444444,0,354.3478261,339.1304348,0,163.0434783,0,171.7391304,0,263.0434783,0,0,0,0,0,6.382978723,0,1715.217391,100,0,0,2173.913043,317.7777778,121.2765957,0,0,0,0,0,0,56.25,0,0,0,0,0,100,100,77.77777778,166.6666667,0,202.2222222,0,0,148.8888889,100,0,0,0,0,0,0,100,1646.666667,0
500,19.56521739,13.63636364,100,0,100,0,175,250,225,100,372.7272727,50,100,0,236.3636364,0,100,79.54545455,100,0,0,0,127.2727273,100,0,0,0,4.545454545,4.545454545,0,100,47.72727273,0,0,100,100,0,100,36.95652174,0,43.47826087,0,0,0,0,293.4782609,30,62,0,4.545454545,130,0,31.11111111,226,100,0,112,78.26086957,0,0,0,0,0,0,0,58.69565217,82.60869565,200,100,0,73.91304348,0,0,0,0,0,100,6.52173913,65.2173913,0,2897.777778,0,78.26086957,0,0,0,50,2.222222222,0,8.695652174,100,0,108.5106383,0,60.86956522,0,13.04347826,0,100,0,197.6744186,113.9534884,62.79069767,0,130.2325581,13.33333333,0,200,132.5581395,102.3255814,0,237.7777778,215.5555556,0,62.22222222,0,135.5555556,0,200,0,0,0,0,0,4.444444444,0,971.1111111,100,0,0,813.3333333,300,113.3333333,0,0,0,0,0,0,8.695652174,0,0,20.45454545,0,0,38.63636364,100,27.27272727,100,0,84.09090909,0,0,100,90.90909091,0,0,0,0,0,0,100,740.9090909,0
600,80.95238095,95,150,0,100,0,257.5,332.5,252.5,162.5,420,100,100,12.5,272.5,50,100,100,100,0,36.36363636,0,195,100,0,30,0,0,52.5,25,100,90,0,0,100,100,14.28571429,100,64.28571429,0,61.9047619,0,9.523809524,0,0,476.1904762,32.60869565,100,0,0,158.6956522,0,100,269.5652174,100,0,128.2608696,100,0,0,0,0,0,7.142857143,0,61.9047619,95.23809524,202.3809524,100,0,52.38095238,0,0,0,0,0,100,9.523809524,66.66666667,0,2819.047619,0,100,0,0,0,100,0,0,40.47619048,100,0,148.8372093,4.761904762,33.33333333,0,35.71428571,0,100,0,200,162.5,65,0,100,100,10,200,137.5,157.5,0,282.9268293,328.5714286,0,107.3170732,0,173.8095238,0,247.6190476,7.317073171,0,0,0,0,100,0,540.4761905,100,0,0,742.8571429,300,169.047619,0,0,0,0,0,0,7.142857143,0,0,100,0,0,100,100,72.5,115,0,180,0,0,157.5,100,0,0,0,0,0,0,100,1020,0
700,100,36.11111111,150,0,100,0,225,341.6666667,222.2222222,125,372.2222222,100,100,33.33333333,213.8888889,50,100,100,100,0,10.25641026,2.777777778,136.1111111,100,0,8.333333333,0,0,11.11111111,5.555555556,100,11.11111111,0,0,100,100,8.108108108,100,40.54054054,0,0,0,51.35135135,0,0,313.5135135,78.57142857,100,0,0,140.4761905,0,100,235.7142857,100,0,100,100,0,0,10.52631579,0,0,0,0,100,100,200,100,0,73.68421053,0,0,26.31578947,0,0,100,36.84210526,100,175.6756757,3016.216216,0,100,0,0,0,100,0,0,15.78947368,115.7894737,0,117.9487179,0,68.42105263,0,0,0,100,0,166.6666667,130.5555556,94.44444444,0,130.5555556,100,8.333333333,200,155.5555556,111.1111111,0,238.8888889,272.972973,0,100,0,159.4594595,0,200,372.2222222,0,0,0,0,64.86486486,0,381.0810811,100,0,0,445.9459459,300,156.7567568,0,0,0,0,0,0,0,0,0,100,0,0,100,100,27.77777778,100,0,119.4444444,0,0,111.1111111,100,0,0,0,0,0,0,100,722.2222222,0
800,100,100,200,0,100,0,290.3225806,400,258.0645161,200,448.3870968,100,100,100,254.5454545,100,100,100,100,0,100,33.33333333,200,100,0,36.36363636,0,90.90909091,36.36363636,54.54545455,100,63.63636364,0,0,100,100,24.24242424,100,75.75757576,0,18.18181818,0,78.78787879,0,0,418.1818182,81.08108108,100,0,0,200,0,100,283.7837838,100,0,100,100,0,0,0,0,0,0,0,100,100,200,100,0,93.93939394,0,0,69.6969697,0,0,100,27.27272727,100,218.1818182,2806.060606,0,100,6.060606061,0,0,100,0,0,57.57575758,178.7878788,0,170.5882353,0,57.57575758,0,0,0,100,0,200,200,100,0,100,100,15.15151515,184.8484848,187.8787879,178.7878788,0,300,400,0,100,0,200,0,287.8787879,72.72727273,0,0,0,0,100,0,245.4545455,100,0,0,409.0909091,345.1612903,200,0,0,0,0,0,0,0,0,0,100,0,3.03030303,135.483871,100,96.77419355,148.3870968,0,183.8709677,0,0,193.5483871,100,0,0,0,0,0,0,100,809.6774194,0
900,100,100,223.0769231,0,142.3076923,0,265.3846154,461.5384615,223.0769231,200,430.7692308,100,100,100,203.8461538,100,100,100,100,0,78.57142857,53.84615385,200,100,0,19.23076923,0,73.07692308,29.62962963,59.25925926,100,7.407407407,0,0,100,100,17.85714286,100,0,0,7.142857143,0,85.71428571,0,0,335.7142857,100,100,0,0,200,0,100,283.3333333,100,0,133.3333333,100,0,0,85.71428571,0,0,0,0,100,100,200,100,0,96.42857143,0,18.51851852,100,0,0,171.4285714,50,100,114.8148148,3418.518519,0,100,0,0,0,100,3.703703704,0,71.42857143,178.5714286,0,146.4285714,0,89.28571429,0,0,0,100,0,211.5384615,200,100,0,184.6153846,100,38.46153846,200,200,119.2307692,0,274.0740741,400,0,100,0,211.1111111,0,229.6296296,496.2962963,0,0,0,0,100,11.11111111,200,100,0,0,300,400,207.1428571,0,0,0,0,0,0,0,0,0,100,0,70.37037037,123.0769231,100,80.76923077,111.5384615,0,107.6923077,0,0,134.6153846,107.4074074,0,0,0,0,0,0,100,611.5384615,0
