sample,Genus
TK150013_Y2006_L,Peromyscus
TK150013_Y2006_M,Peromyscus
TK150014_Y2006_L,Peromyscus
TK150014_Y2006_M,Peromyscus
TK150019_Y2006_L,Peromyscus
TK150019_Y2006_M,Peromyscus
TK150027_Y2006_L,Peromyscus
TK150027_Y2006_M,Peromyscus
TK150036_Y2006_L,Peromyscus
TK150036_Y2006_M,Peromyscus
TK150038_Y2006_L,Peromyscus
TK150038_Y2006_M,Peromyscus
TK150043_Y2006_L,Peromyscus
TK150043_Y2006_M,Peromyscus
TK150119_Y2006_L,Peromyscus
TK150119_Y2006_M,Peromyscus
TK150122_Y2006_L,Peromyscus
TK150122_Y2006_M,Peromyscus
TK150129_Y2006_L,Peromyscus
TK150129_Y2006_M,Peromyscus
TK150131_Y2006_L,Peromyscus
TK150131_Y2006_M,Peromyscus
TK150133_Y2006_L,Peromyscus
TK150133_Y2006_M,Peromyscus
TK150135_Y2006_L,Peromyscus
TK150135_Y2006_M,Peromyscus
TK150138_Y2006_L,Peromyscus
TK150138_Y2006_M,Peromyscus
TK150139_Y2006_L,Peromyscus
TK150139_Y2006_M,Peromyscus
TK150140_Y2006_L,Peromyscus
TK150140_Y2006_M,Peromyscus
TK150145_Y2006_L,Peromyscus
TK150145_Y2006_M,Peromyscus
TK150148_Y2006_L,Peromyscus
TK150148_Y2006_M,Peromyscus
TK150150_Y2006_L,Peromyscus
TK150150_Y2006_M,Peromyscus
TK150159_Y2006_L,Peromyscus
TK150159_Y2006_M,Peromyscus
TK150168_Y2006_L,Reithrodontomys
TK150168_Y2006_M,Reithrodontomys
TK150172_Y2006_L,Peromyscus
TK150172_Y2006_M,Peromyscus
TK150183_Y2006_L,Peromyscus
TK150183_Y2006_M,Peromyscus
TK150184_Y2006_L,Peromyscus
TK150184_Y2006_M,Peromyscus
TK150233_Y2006_L,Peromyscus
TK150233_Y2006_M,Peromyscus
TK188255_Y2016_L,Peromyscus
TK188255_Y2016_M,Peromyscus
TK188274_Y2016_L,Peromyscus
TK188274_Y2016_M,Peromyscus
TK188278_Y2016_L,Peromyscus
TK188278_Y2016_M,Peromyscus
TK188288_Y2016_L,Peromyscus
TK188288_Y2016_M,Peromyscus
TK188297_Y2016_L,Peromyscus
TK188297_Y2016_M,Peromyscus
TK197090_Y2016_L,Peromyscus
TK197090_Y2016_M,Peromyscus
TK197100_Y2016_L,Peromyscus
TK197100_Y2016_M,Peromyscus
TK197103_Y2016_L,Peromyscus
TK197103_Y2016_M,Peromyscus
TK197123_Y2016_L,Peromyscus
TK197123_Y2016_M,Peromyscus
TK197127_Y2016_L,Peromyscus
TK197127_Y2016_M,Peromyscus
TK197134_Y2016_L,Peromyscus
TK197134_Y2016_M,Peromyscus
TK197158_Y2016_L,Peromyscus
TK197158_Y2016_M,Peromyscus
TK197258_Y2016_L,Peromyscus
TK197258_Y2016_M,Peromyscus
TK197301_Y2016_L,Peromyscus
TK197301_Y2016_M,Peromyscus
TK197307_Y2016_L,Peromyscus
TK197307_Y2016_M,Peromyscus
TK197322_Y2016_L,Peromyscus
TK197322_Y2016_M,Peromyscus
TK197331_Y2016_L,Peromyscus
TK197331_Y2016_M,Peromyscus
TK197345_Y2016_L,Peromyscus
TK197345_Y2016_M,Peromyscus
TK197372_Y2016_L,Peromyscus
TK197372_Y2016_M,Peromyscus
TK197378_Y2016_L,Peromyscus
